Version,Processes,N,Time
Serial,1,100000000,0.125192
Parallel,2,100000000,0.062748
Parallel,4,100000000,0.032665
Parallel,8,100000000,0.027430
Parallel,16,100000000,0.086964
Parallel,32,100000000,0.092571
Parallel,55,100000000,0.203645
Serial,1,500000000,0.622238
Parallel,2,500000000,0.312709
Parallel,4,500000000,0.173229
Parallel,8,500000000,0.179825
Parallel,16,500000000,0.394950
Parallel,32,500000000,0.500581
Parallel,55,500000000,0.603025
Serial,1,1000000000,1.250547
Parallel,2,1000000000,0.626650
Parallel,4,1000000000,0.314547
Parallel,8,1000000000,0.414775
Parallel,16,1000000000,0.705819
Parallel,32,1000000000,0.989098
Parallel,55,1000000000,1.201115
